Name of kdrama,Year of relase,Watchtime,Movie Rating,Genre,Votes
One Spring Night,2019,35,7.9,"Drama, Romance            ",2676
The Bride of Habaek,2017,70,6.9,"Comedy, Fantasy, Romance            ",2873
The World of the Married,2020,80,8,"Drama, Romance            ",2617
My Golden Life,2017,65,7.2,"Comedy, Drama, Romance            ",342
Never Give Up,2022,,7.5,"Comedy, Drama            ",26
Dear. M,2022,,7.3,"Drama, Romance            ",207
Oh My Ghost,2015,60,8,"Comedy, Drama, Fantasy            ",4438
Touch Your Heart,2019,60,7.6,"Comedy, Romance            ",3338
Skylanders Academy,2016,25,6.5,"Animation, Action, Adventure            ",779
Single's Inferno,2021,,7.1,Reality-TV            ,1672
My Unfamiliar Family,2020,70,7.7,Drama            ,146
Camp Lazlo!,2005,30,6.4,"Animation, Short, Adventure            ",9914
City Hunter,2011,60,8.1,"Action, Romance, Thriller            ",5934
Angel's Last Mission: Love,2019,35,7.7,"Comedy, Drama, Fantasy            ",2124
Secret Garden,2010,60,8.1,"Comedy, Drama, Fantasy            ",6748
Law School,2021,65,8,"Crime, Drama, Mystery            ",2233
Eulachacha Waikiki,2018,65,8.2,"Comedy, Drama            ",2268
A Wonderful Sight,2021,70,7,"Action, Comedy, Thriller            ",654
Save Me,2017,60,7.9,"Mystery, Thriller            ",1462
Mystic Pop-up Bar,2020,70,8,"Comedy, Fantasy, Mystery            ",2139
You're Too Much,2017,,7.4,Drama            ,16
To My Star,2021,,8.1,"Short, Drama, Romance            ",1363
Haereul poomeun dal,2012,,8,"Drama, Fantasy, Romance            ",2693
Busted!,2018,90,7.6,"Comedy, Reality-TV            ",941
Alvinnn!!! And the Chipmunks,2015,11,4.5,"Animation, Comedy, Family            ",1408
Love All Play,2022,70,7.7,"Drama, Romance, Sport            ",415
Young Lady and Gentleman,2021,70,6.3,"Comedy, Drama, Family            ",136
"Hi Bye, Mama!",2020,70,7.9,"Comedy, Drama, Fantasy            ",1671
Encounter,2018,60,7.5,"Drama, Romance            ",1624
Search: WWW,2019,70,7.8,"Drama, Romance            ",1433
I Hear Your Voice,2013,60,8.1,"Comedy, Drama, Fantasy            ",4067
The Crowned Clown,2019,80,8,"Drama, History, Romance            ",984
Woori the Virgin,2022,70,5.3,"Comedy, Romance            ",190
A Love So Beautiful,2020,,7.3,"Comedy, Romance            ",1046
Navillera,2021,60,8.8,Drama            ,2260
The Innocent Man,2012,60,7.7,Drama            ,1939
Dramaworld,2016,15,7.4,"Short, Comedy, Drama            ",1820
Son: The Guest,2018,65,8.1,"Drama, Horror, Mystery            ",1660
Live Up to Your Name,2017,60,8,"Drama, Fantasy, Romance            ",1343
Crazy Love,2022,70,7.5,"Comedy, Drama, Romance            ",372
Military Prosecutor Do Bae Man,2022,,7.9,"Action, Drama            ",574
Mad for Each Other,2021,30,7.9,"Comedy, Drama, Romance            ",1820
Cheese in the Trap,2016,60,7.3,"Comedy, Romance            ",4056
Tunnel,2017,60,8.3,"Crime, Drama, Fantasy            ",2913
Familiar Wife,2018,60,7.7,"Fantasy, Romance            ",1048
My Strange Hero,2006,35,7.3,"Comedy, Drama            ",880
Bad Guys,2014,60,7.8,"Action, Crime, Thriller            ",1603
Fated to Love You,2014,60,7.9,"Comedy, Romance            ",2485
The Smile Has Left Your Eyes,2018,60,7.9,"Drama, Mystery, Romance            ",1256
Baby Shark's Big Show!,2020,24,2.4,"Animation, Short, Adventure            ",626
Those Who Read the Hearts of Evil,2022,,8.1,"Crime, Drama, Mystery            ",422
Are You Human Too?,2018,35,7.9,"Comedy, Drama, Romance            ",2317
Muppet Babies,2018,23,6.4,"Animation, Short, Adventure            ",721
When the Camellia Blooms,2019,30,7.9,"Comedy, Drama, Romance            ",2532
Designated Survivor: 60 Days,2019,70,8.1,"Drama, Thriller            ",1308
Misty,2018,60,8,"Drama, Mystery, Romance            ",655
Bakugan Battle Brawlers,2007,22,5.6,"Animation, Action, Adventure            ",2862
The Master's Sun,2013,62,8.1,"Comedy, Fantasy, Horror            ",4783
Investigation Partners,2018,35,8.3,"Crime, Drama, Mystery            ",797
School 2017,2017,,7.4,"Comedy, Drama, Mystery            ",1372
Jumong,2006,60,8,"Biography, Drama, History            ",3127
Run BTS!,2015,,9.6,Game-Show            ,1321
Doctor John,2019,35,8.1,"Drama, Mystery, Romance            ",1435
Marriage Contract,2016,75,7.5,Drama            ,762
Jinxed at First,2022,70,6.7,"Comedy, Fantasy, Mystery            ",152
